Text,TranslatedText
Text,teks 
Saya akan jadi seorang yang good,Tora description WARNA PUTIH baik seorang 
I am okay for this!,janganlah jangan kau bagi this! 
This is baik,thank you Ma 
bagi tahu,Huwa Ma 
hahaha it is too funny positive,hehe. you will positif terlalu lucu 
so bad lah you positive,aku tak ingin repot positif 
let you go ba positive,anda mau aku add positif 
sad case negative,sedih kes negatif 
This website are so good woohoo,laman ini aku dah tak baik 
fuck you,andai anda 
female genitalia no idea Abu,wanita auratnya must idea Hammad 
haloo nicee to meet you ^.^,haloo nicee Aku bertemu anda ^.^ 
i love you is a good ways to express,janganlah anda suka will very baik Aku mengerti cara 
Square multiple TR become?,dua IFC become? years 
To be honest,line bisa jujur 
Boyfriend ini cintaku,Dear man cintaku 
Used to indicate that one was not invited along to somewhere walao ehh!,Copyright Aku yang menunjukkan bahawa dia tidak datang dan pergi Aku walao ehh! 
